curr_id,cur_name_th,faculty_name_th,career
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้สื่อข่าว (Reporter)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,ผู้กำกับสื่อ (Media Director)
25400051100369,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาสังคมวิทยาและมานุษยวิทยา,คณะสังคมวิทยาและมานุษยวิทยา,นักวิจารณ์สังคม (Social Criticist)
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักเศรษฐศาสตร์
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิจัยด้านเศรษฐศาสตร์
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านนโยบายและการวางแผน
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการตลาด
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการลงทุน
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการเงิน
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ประกอบอาชีพอิสระธุรกิจส่วนตัวหรือเจ้าของกิจการ
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักข่าวและสื่อสารมวลชน
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,อาจารย์
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,งานองค์กรระหว่างประเทศ
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิจัยอิสระ
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,เจ้าหน้าที่งบประมาณ
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,ตัวแทนประกันภัย
25510051108732,หลักสูตรเศรษฐศาสตรบัณฑิต (หลักสูตรนานาชาติ),คณะเศรษฐศาสตร์,นักวิชาการ
2509051100496,หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,สถาปนิก
2509051100496,หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,นักออกแบบตกแต่งภายใน
2509051100496,หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,นักออกแบบเครื่องเรือนและผลิตภัณฑ์
2509051100496,หลักสูตรสถาปัตยกรรมภายในบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,นักออกแบบจัดแสดง
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,บรรณารักษ์ในห้องสมุดหรือหน่วยงานบริการสารสนเทศอื่น ๆ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักเอกสารสนเทศในห้องสมุดหรือหน่วยงานบริการสารสนเทศอื่น ๆ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ปฏิบัติงานเกี่ยวกับการวิจัย ผู้ช่วยนักวิจัย การสืบค้นข้อมูลจากแหล่งสารสนเทศ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้เชี่ยวชาญงานสารสนเทศและเทคโนโลยีสารสนเทศ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ปฏิบัติงานเกี่ยวกับการผลิตสื่อสารสนเทศต่าง ๆ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาชีพอื่น ๆ ที่นำความรู้ทางบรรณารักษศาสตร์และสารสนเทศศาสตร์ไปประยุกต์ เช่น งาน เลขานุการ นักจัดการงานทั่วไป งานในวงการธุรกิจและอุตสาหกรรม เป็นต้น
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักวิชาการ ผู้สอนด้านประวัติศาสตร์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักสารสนเทศ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักวิจัยประจำหอจดหมายเหตุหรือพิพิธภัณฑ์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักเขียนบทสารคดี นักเขียนข่าว อาชีพด้านสื่อมวลชน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาชีพอื่น ๆ ที่นำความรู้ทางประวัติศาสตร์ไปประยุกต์ เช่น มัคคุเทศก์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักวิชาการ ผู้สอนด้านปรัชญาหรือศาสนา
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักวิเคราะห์และวางแผนภาพรวมองค์กร
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,เจ้าหน้าที่ในหน่วยงานภาครัฐและเอกชนที่นำความรู้ทางปรัชญาหรือเนื้อหาที่เกี่ยวข้องไปประยุกต์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักสื่อสารมวลชน นักเขียน คอลัมนิสต์ นักแปลที่ต้องใช้ความรู้ทางปรัชญาหรือเนื้อหาที่เกี่ยวข้อง
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักพัฒนาสังคมทำงานในสายงานวิเคราะห์วิจารณ์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักวิชาการ นักวิจัย ผู้สอนภาษา
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,เจ้าหน้าที่ด้านภาษาต่างประเทศ เจ้าหน้าที่ประชาสัมพันธ์ เลขานุการ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,บรรณาธิการ นักเขียน นักพัฒนาเนื้อหาในสื่อออนไลน์ และอาชีพอื่น ๆ ที่เกี่ยวข้องกับธุรกิจการพิมพ์ งานเขียน และสื่ออิเล็กทรอนิกส์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,เจ้าหน้าที่การท่องเที่ยว เจ้าหน้าที่ด้านประชาสัมพันธ์ในโรงแรมและองค์กรด้านท่องเที่ยว พนักงานต้อนรับของสายการบิน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้สอนด้านภาษาอังกฤษ และด้านวรรณกรรม
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักแปล นักเขียน นักวิจารณ์ บรรณาธิการ รวมถึงอาชีพอื่น ๆ ที่เกี่ยวข้องกับสื่อสิ่งพิมพ์และภาพยนตร์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ผลิตเนื้อหาเชิงสร้างสรรค์
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,พนักงานทั้งภาครัฐและเอกชนที่ต้องใช้ทักษะภาษาอังกฤษ ทักษะด้านบุคคล และทักษะการให้บริการ เช่น อุตสาหกรรมการท่องเที่ยวและการโรงแรม
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,พนักงานและนักปฏิบัติการในองค์กรภาควัฒนธรรม เช่น ภัณฑารักษ์ ผู้ทำงานในองค์กรระหว่างประเทศ องค์กรไม่แสวงหาผลกำไร (NGOs) และองค์กรเพื่อสังคมต่าง ๆ รวมถึงงานลักษณะอื่นที่ต้องการความรู้ความเข้าใจเกี่ยวกับบริบทสังคมปัจจุบัน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักแปล ล่าม นักเขียน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักการทูต เจ้าหน้าที่องค์กรระหว่างประเทศ
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,มัคคุเทศก์ พนักงานในธุรกิจนำเที่ยว การโรงแรม และสายการบิน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักเขียนบทสารคดี นักเขียนข่าว ผู้สื่อข่าว
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,เจ้าหน้าที่ด้านการต่างประเทศในหน่วยงานภาครัฐและเอกชน
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้สอนภาษาญี่ปุ่นและญี่ปุ่นศึกษา
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,พนักงานในหน่วยงานหรือบริษัทที่ใช้ทักษะภาษาญี่ปุ่นและความรู้ด้านญี่ปุ่นศึกษา
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,นักแปล ล่าม
25520051102668,หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาชีพอิสระที่ใช้ทักษะภาษาญี่ปุ่นและความรู้ด้านญี่ปุ่นศึกษา
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,"นักวิจัยทางสังคม (Social Researcher) หรือนักวิชาการ (Acadamian) ทางด้านสังคมและ
วัฒนธรรม ทั้งในหน่วยงานของรัฐและเอกชน"
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการ/ครู/อาจารย์
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,"นักบริหารและนักวิเคราะห์ (Analyst) ทางด้านการบริหารจัดการ นโยบายและการวางแผนทาง
สังคม และการวิเคราะห์ผลกระทบทางสังคมและวัฒนธรรม"
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,"นักวิชาการพัฒนาชุมชน (Community Development Specialist)/ นักพัฒนาสังคม (Social
Development Worker)"
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้เชี่ยวชาญด้านการรับผิดชอบต่อสังคม (CSR Specialist)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้บริหารทางด้านทรัพยากรบุคคล (Human Resource Manager)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักประวัติศาสตร์สังคม (Social Historian)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักวิชาการวัฒนธรรม (Cultural Officer)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักการจัดการและบริหารพิพิธภัณฑ์ (Museum Manager)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักพัฒนาการท่องเที่ยว (Tourism Development Officer)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักเขียนสารคดี (Documentary Writer)
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,"ผู้ผลิตสื่อดิจิตอล (Digital Media Producer)/ผู้กำกับสื่อ (Media Director)/ผู้สื่อข่าว
(Reporter)"
25510051100351,หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,นักวิจารณ์สังคม (Social Criticist)
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักเศรษฐศาสตร์
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิจัยด้านเศรษฐศาสตร์
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านนโยบายและการวางแผน
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการตลาด
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการลงทุน
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิเคราะห์ด้านการเงิน
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,ประกอบอาชีพอิสระธุรกิจส่วนตัวหรือเจ้าของกิจการ
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักข่าวและสื่อสารมวลชน
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,อาจารย์
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,งานองค์กรระหว่างประเทศ
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิจัยอิสระ
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,เจ้าหน้าที่งบประมาณ
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,ตัวแทนประกันภัย
25400051100191,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,นักวิชาการ
25520051102681,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,ผู้สอนภาษาอังกฤษ
25520051102681,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,นักแปล-ล่าม
25520051102681,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,นักเขียน
25520051102681,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,เจ้าหน้าที่ในองค์กรระหว่างประเทศ องค์กรเอกชน หน่วยงานราชการ
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ภูมิสถาปนิก
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,นักวางผังบริเวณ
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ที่ปรึกษาด้านสิ่งแวดล้อม
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ที่ปรึกษาด้านการก่อสร้างภูมิสถาปัตยกรรม
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,นักบริหารโครงการด้านภูมิสถาปัตยกรรมหรือที่เกี่ยวข้อง
25470051100479,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาชีพอื่น ๆ ที่เกี่ยวข้อง
25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้สอนภาษาไทย
25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,นักวิจัย/นักวิชาการด้านภาษา วรรณกรรม และวัฒนธรรมไทย
25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ปฏิบัติงานในหน่วยงานของรัฐและเอกชน
25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ปฏิบัติงานด้านสื่อสารมวลชนในสื่อสิ่งพิมพ์และสื่อออนไลน์
25520051102679,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ปฏิบัติงานด้านการประชาสัมพันธ์และงานเลขานุการ
25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,นักภูมิศาสตร์ หรือ นักภูมิสารสนเทศ
25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,เจ้าหน้าที่แผนที่ภายถ่าย
25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,นักวิชาการแผนที่
25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,นักวิจัย นักวิชาการ
25470051100323,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,นักวิเคราะห์ด้านการวางแผนและการพัฒนาพื้นที่
