cur-name-th,faculty_name_th,lecture-position,lecture-first-name,lecture-last-name,bachelor-degree,bachelor-institute,bachelor-graduate-year,doctor-degree,doctor-institute,doctor-graduate-year
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,ตามไท,ดิลกวิทยรัตน์,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,Ph.D.,"Australian National University, Australia",2557
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์,ธีรภัทร,รื่นศิริ,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2555,M.A.,"Lancaster University, UK",2557
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,ชรินทร,หนองบัว,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2553,Ph.D.,"The University of New South Wales, Australia",2562
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,เหมือนมาด,มุกข์ประดิษฐ์,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2548,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2561
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์,พิรุฬห์,ปิยมหพงศ์,อ.บ.,มหาวิทยาลัยศิลปากร,2556,M.Sc,"University of Edinburgh, UK",2560
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,อาจารย์ ดร.,Ivan,Ivanov,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"University of Iowa, USA",2552
หลักสูตรศิลปศาสตรบัณฑิต,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ศิริวรรณ,วรชัยยุทธ,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2545,Ph.D.,"East China Normal University, China",2555
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์ ดร.,ณัฐจรี,สุวรรณภัฏ,สม.บ.,มหาวิทยาลัยธรรมศาสตร์,2541,Ph.D.,"La Trobe University, Australia.",2557
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,อัครนัย,ขวัญอยู่,สม.บ.,มหาวิทยาลัยธรรมศาสตร์,2554,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2559
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,อาจารย์,วิภาวี,พงษ์ปิ่น,ศศ.บ.,มหาวิทยาลัยศิลปากร,2550,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2554
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์ ดร.,บุญเลิศ,วิเศษปรีชา,วท.บ.,มหาวิทยาลัยเกษตรศาสตร์,2538,Ph.D.,"University of Wisconsin-Madison, U.S.A.",2558
หลักสูตรสังคมวิทยาและมานุษยวิทยาบัณฑิต สาขาวิชาการวิจัยทางสังคม,คณะสังคมวิทยาและมานุษยวิทยา,ผู้ช่วยศาสตราจารย์,อรอุมา,เตพละกุล,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2541,M.Sc.,"Asian Institute of Technology, Thailand",2543
หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,เฉลิมพงษ์,คงเจริญ,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"Michigan State University, U.S.A",2554
หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,ดวงมณี,เลาวกุล,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2533,Ph.D.,"George Mason University, U.S.A",2547
หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,ผู้ช่วยศาสตราจารย์,ชญานี,ชวะโนทย์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2548,Ph.D.,"Cornell University, U.S.A",2557
หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,รองศาสตราจารย์,ศศิวิมล,วรุณศิริ ปวีณวัฒน์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"University of Colorado, Boulder, U.S.A",2553
หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,อาจารย์,ทีปกร,จิร์ฐิติกุลชัย,ศ.บ.,มหาวิทยาลัยขอนแก่น,2542,Ph.D.,"Texas A&M University, U.S.A",2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,รองศาสตราจารย์ ดร.,วริษา,โอสถานนท์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2534,Ph.D.,"University of Hawaii at Manoa, HI, USA",2540
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ขวัญจิรา,ฉัตรพรรณรังสี,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2534,Ph.D.,"Indiana University, USA",2556
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,อาจารย์ ดร.,กมลรัตน์,ศรีหารักษา,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2538,Ph.D.,"University of Essex, UK",2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,อาจารย์,ปริวรรต,อิมสอาด,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2561,Μ.Α.,"University of York, UK",2562
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,คณะศิลปศาสตร์,อาจารย์,ณัฐวดี,ก้อนทอง,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2551,ศศ.ม.,มหาวิทยาลัยธรรมศาสตร์,2554
หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,รองศาสตราจารย์,พัทมน,เสลานนท์,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2539,Ph.D.,"University of Newcastle upon Tyne, UK",2560
หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,รองศาสตราจารย์,ภวินท์,สิริสาลี,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2539,ภ.สถ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2551
หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,ปราณิศา,บุญค้ำ,ภ.สถ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2539,M.LA.,"Harvard University, USA",2544
หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,รองศาสตราจารย์,ชุมเขต,แสวงเจริญ,สถ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2539,ปร.ด.,มหาวิทยาลัยเกษตรศาสตร์,2560
หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,ศุภวัจน์,แก้วขาว,วท.บ.,มหาวิทยาลัยเกษตรศาสตร์,2535,วท.ม.,มหาวิทยาลัยเกษตรศาสตร์,2545
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,อำนาจ,ปักษาสุข,อ.บ.,มหาวิทยาลัยศิลปากร,2548,อ.ด.,มหาวิทยาลัยศิลปากร,2563
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,วัชราภรณ์,ดิษฐป้าน,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,อาจารย์ ดร.,นิติพงศ์,พิเชฐพันธุ์,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2549,Ph.D.,"University of Sydney, Australia",2564
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,รองศาสตราจารย์ ดร.,ประเสริฐ,รุนรา,ศศ.บ,มหาวิทยาลัยรามคำแหง,2558,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย,ศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,พรทิพย์,เฉิดฉินนภา,อ.บ.,มหาวิทยาลัยศิลปากร,2535,อ.ม.,มหาวิทยาลัยศิลปากร,2539
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,รองศาสตราจารย์ ดร.,ดรุณวรรณ,กำธรเกียรติ,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2538,D.Tech.Sc.,สถาบันเทคโนโลยีแห่งเอเชีย,2548
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ทรงชัย,ทองปาน,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2539,ปร.ด.,มหาวิทยาลัยธรรมศาสตร์,2558
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,อาจารย์ ดร.,วาสินี,วรรณศิริ,วท.บ.,มหาวิทยาลัยเกษตรศาสตร์,2548,Ph.D.,สถาบันเทคโนโลยีแห่งเอเชีย,2556
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,อาจารย์ ดร.,กฤชญาณ,อินทรัตน์,วท.บ.,มหาวิทยาลัยบูรพา,2546,วศ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2562
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,คณะศิลปศาสตร์,อาจารย์,จินดา,แซ่จึง,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2549,M.S.,สถาบันเทคโนโลยีแห่งเอเชีย,2551
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,รองศาสตราจารย์,เกตุชพรรณ์,คำพุฒ,ศศ.บ.,มหาวิทยาลัยนเรศวร,2547,ศศ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์ ดร.,นิตยาภรณ์,พรมปัญญา,ศศ.บ.,มหาวิทยาลัยเชียงใหม่,2544,Ph.D.,"Kyoto University, Japan",2565
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์,ศาสนีย์,ศรศิลป์,น.บ.,มหาวิทยาลัยธรรมศาสตร์,2548,ร.ม.,มหาวิทยาลัยธรรมศาสตร์,2553
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์ ดร.,กัณฐ์ศศา,พงษ์หิรัญ,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2544,Ph.D.,"Moscow State University, Russia",2552
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์,ดนุพล,เฉลยสุข,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2556,GradDip of Aspirantura Programme,"Saint Petersburg State University, Russia",2562
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์,ปริตต์,อรุณโอษฐ์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2556,GradDip of Aspirantura Programme,"Saint Petersburg State University, Russia",2562
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,กรนภา,บุญพิสุทธิ์ศิลป์,นศ.บ.,มหาวิทยาลัยศรีปทุม,2545,Ph.D.,"Keimyung University, Rep. of Korea",2560
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์ ดร.,ถาปกรณ์,กำเนิดศิริ,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2549,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2563
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอาณาบริเวณศึกษา,คณะศิลปศาสตร์,อาจารย์,จิราพร,พรประภา,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2546,Μ.Α.,"Indiana University, USA",2552
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,Peter,Hammond,B.A. (Hons),"University of Sheffield, UK",2537,Ph.D.,"University of Nottingham, UK",2546
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,ชานนท์,อัศนธรรม,B.A.,"University of Colorado, USA",2546,Ph.D.,"Miami University, USA",2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์,ศิริรัตน์,ณ ระนอง,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2541,Ph.D.,"University of Essex, UK",2552
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,คณะศิลปศาสตร์,อาจารย์,จิรธร,สกุลวัฒนะ,ศศ.บ.,มหาวิทยาลัยเชียงใหม่,2550,Ph.D.,"School of Oriental and African Studies (SOAS) University of London, UK.",2562
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาอังกฤษ-อเมริกันศึกษา,คณะศิลปศาสตร์,อาจารย์,สุธิดา,วิมุตติโกศล,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2548,Ph.D.,"King's College London, UK",2561
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ภาสพงศ์,ศรีพิจารณ์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2537,Ph.D.,"University of Birmingham, UK.",2545
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,คณะศิลปศาสตร์,รองศาสตราจารย์ ดร.,พนิดา,ซิมาภรณ์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2519,Ph.D.,"Oklahoma State University, USA.",2528
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,คณะศิลปศาสตร์,รองศาสตราจารย์,ศศี,จันทร์ประพันธ์,อ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2528,Μ.Α.,"Pittsburg State University, USA.",2530
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,คณะศิลปศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,สิทธิธรรม,อ่องวุฒิวัฒน์,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2546,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการแปลและล่ามในยุคดิจิทัล,คณะศิลปศาสตร์,อาจารย์ ดร.,วิชยา,ปิดชามุก,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2542,Ph.D.,"Dublin City University, Ireland",2565
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,อดุลย์,แป้นสุวรรณ,วท.บ.,"สถาบันเทคโนโลยีพระจอมเกล้า
พระนครเหนือ",2538,ปร.ด.,มหาวิทยาลัยมหิดล,2548
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,วันหยก,อติเศรษฐพงศ์,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2544,ปร.ด.,มหาวิทยาลัยมหิดล,2552
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วรรณวรัตม์,อันล้ำเลิศ,วท.บ.,มหาวิทยาลัยศิลปากร,2551,ปร.ด.,มหาวิทยาลัยมหิดล,2558
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,นวลักษณ์,ทองจับ,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,วท.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2557
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ประยุกต์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วรเวทย์,ลีลาอภิรดี,วท.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2553,วท.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2559
"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)",คณะสถาปัตยกรรมศาสตร์และการผังเมือง,"ผู้ช่วย
ศาสตราจารย์",อาสาฬห์,สุวรรณฤทธิ์,ภ.สถ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2544,M.LA.,"University Nurtingen-Geislingen,
Germany",2549
"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)",คณะสถาปัตยกรรมศาสตร์และการผังเมือง,"Associate
Professor",Kim Neil,Irvine,B.Sc.,University of Toronto,2526,Ph.D.,McMaster University,2532
"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)",คณะสถาปัตยกรรมศาสตร์และการผังเมือง,"ผู้ช่วย
ศาสตราจารย์",ดร.อรรฆพันธ์,เธียรถาวร,วท.บ.,มหาวิทยาลัยสวนดุสิต,2545,Ph.D.,"University for the Creative Arts, UK",2561
"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)",คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาจารย์,Massimo,Ingegno,B.Sc.,"University of Florance, Italy",2555,M.Sc.,"University Collage London, UK",2558
"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการออกแบบ ธุรกิจ และเทคโนโลยี
(หลักสูตรนานาชาติ)",คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาจารย์,Hyun Wook,"Hwangbo, Ph.D.",B.A.,"Linguistics & Literature (Double
Major), SungKyunKwan
University, Seoul, South Korea",2546,Ph.D.,"Lancaster Institutes for the
Contemporary Arts, Lancaster
University, United Kingdom",2559
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วรวรรณ,ดีอัซ การ์บาโย,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2539,Ph.D.,"University of Edinburgh, UK",2549
